SETORES;ÓRGÃO;FUNÇÃO;PROJETO;MUNICÍPIO;VALOR TOTAL DO PROJETO;ORÇAMENTO DISPONIBILIZADO;VALOR EMPENHADO;VALOR LIQUIDADO;VALOR PAGO;SALDO;DATA DE INÍCIO;DATA DO ÚLTIMO REPASSE;DATA DE CONCLUSÃO;EXECUÇÃO FÍSICA;EXECUÇÃO FINANCEIRA;NÚMERO DA FONTE;STATUS;CONTRATO
Infraestrutura;SEIL;26;Pavimentação PR-092, Cerro Azul - Dr. Ulysses (sub-trecho iniciando em Dr. Ulysses) (Lote 1);Doutor Ulysses; 61.719.867,09 ; 40.000.000,00 ; -   ; 2.658.374,45 ; 2.658.374,45 ; 59.061.492,64 ;;;;6,77;4,68;755;Em execução;1487/2024
Infraestrutura;SEIL;26;Restauração em Whitetopping e Ampl. Capacidade (3ª faixa), PR-180, Goioerê- Quarto Centenário - 11,13km;Quarto Centenário; 67.939.127,78 ; 67.939.127,78 ; 26.665.109,41 ; 42.849.055,07 ; 42.849.055,07 ; 25.090.072,71 ;;;;96,26;90,29;755;Em execução;7573/2023
Infraestrutura;SEIL;26;Execução das obras de Implantação da PR-990, entre a PR-364 e a cidade de Rebouças;Rebouças; 90.658.114,75 ; 87.300.000,00 ; 31.843.928,00 ; 4.624.951,67 ; 4.624.951,67 ; 86.033.163,08 ;;;;7,6;7,51;755;Em execução;2979/2024
Infraestrutura;SEIL;26;Elaboração do projeto executivo de implantação da rodovia PR-239, trecho: Mato Rico a Roncador;Mato Rico; 101.199.999,99 ; 9.767.064,00 ; 9.757.064,00 ;  -    ;  -    ; -   ;;;;0;0;755;Em execução;1522/2025
Infraestrutura;SEIL;26;Contratação Integrada de Empresa para Elaboração dos Projetos Básico e Executivo e Execução das Obras de Restauração com Melhorias das Rodovias PR-180 e PR-281, no trecho Dois Vizinhos - Francisco Beltrão (com Salto do Lontra);Dois Vizinhos; 96.357.474,33 ; 15.314.163,00 ; 15.314.163,00 ; 2.839.635,82 ; 2.839.635,82 ; 93.517.838,51 ;;;;2,95;2,95;755;Em execução;6089/2024
Infraestrutura;SEIL;26;Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466 entre o entroncamento da Rodovia Municipal em Palmeirinha e o início da pista dupla em Guarapuava, numa extensão total de 11,52 km;Guarapuava; 143.001.638,56 ; 35.303.520,00 ; 70.313.519,30 ; 58.436.172,00 ; 58.067.861,47 ; 84.933.777,09 ;;;;45,98;46,24;755;Em execução;4358/2024
Infraestrutura;SEIL;26;Elaboração dos Projetos Básico e Executivo e Execução das Obras de Restauração em Whitetopping na PRC-280, entre Clevelândia e Pato Branco;Pato Branco; 185.239.000,61 ; 165.250.000,00 ; 165.239.000,61 ; 162.653.414,86 ; 162.653.414,86 ; 22.585.585,75 ;;;;89,88;89,91;755;Em execução;3182/2024
Infraestrutura;SEIL;26;Execução das obras de restauração e ampliação de capacidade da rodovia PR-151, no trecho compreendido entre o entroncamento com a PR-438, km 344,51, em Ponta Grossa, e a interseção com a BR-277, km 377,22 em Palmeira;Palmeira;257.215.000,14; 25.000.000,00 ; 25.000.000,00 ; 23.146.147,97 ; 23.146.147,97 ; 234.068.852,17 ;;;;9;9;755;Em execução;6318/2024
Infraestrutura;SEIL;26;Execução das obras de duplicação em pavimento rígido da PR-412 e implantação de vias marginais, entre a ponte sobre o canal em Matinhos e a interseção com a rodovia PR-407 em Pontal do Paraná;Matinhos; 274.500.000,00 ; 26.555.308,00 ; 26.555.308,00 ; 3.342.828,25 ; 3.342.828,25 ; 271.157.171,75 ;;;;0,48;0,52;755;Em licitação;1149/2025
Infraestrutura;SEIL;26;Execução das obras de duplicação em pavimento rígido e restauração em Whitetopping da rodovia PR-170/PRC-466, de Turvo a Palmeirinha, numa extensão de 27,02 km.;Palmeirinha; 293.750.000,00 ; 35.303.520,00 ; 28.625.200,00 ; 2.981.790,57 ; -   ; 293.750.000,00 ;;;;1,02;1,02;755;Em execução;8140/2024
Infraestrutura;SEIL;26;Contratação semi-integrada de empresa para elaboração do projeto executivo e execução das obras de duplicação e restauração da rodovia PR-170/PRC-466, de Pitanga a Turvo, numa extensão de 45,50 km.;Turvo; 534.199.738,46 ; 69.793.758,00 ; 29.793.758,00 ; 8.256.744,96 ; 8.256.744,96 ; 525.942.993,50 ;;;;1,52;1,61;755;Em execução;1296/2025
Infraestrutura;SEIL;26;Contratação Semi-integrada de empresa para elaboração do Projeto Executivo e execução das obras de ampliação de capacidade e restauração das rodovias PRC-487 e PR-460, da ponte sobre o rio Muquilão, em Nova Tebas, a Pitanga, numa extensão de 51,52 km.;Turvo;267.800.000,00; 8.010.000,00 ;10000;0;0; 267.800.000,00 ;;;;;;755;Em execução;4024/2025
Infraestrutura;SEIL;26;CONCORRÊNCIA PARA A CONTRATAÇÃO SEMI-INTEGRADA DE EMPRESA PARA ELABORAÇÃO DO PROJETO EXECUTIVO E EXECUÇÃO DAS OBRAS DE RESTAURAÇÃO E AMPLIAÇÃO DE CAPACIDADE DA RODOVIA PRC-466 NO TRECHO ENTRE O ACESSO A SUBESTAÇÃO IVAIPORÃ FURNAS, EM MANOEL RIBAS E O ENTRONCAMENTO COM A PR-460, EM PITANGA, NUMA EXTENSÃO DE 43,05 KM.;Turvo; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;755;Em licitação;
Habitação;SECID;16;VIVER MAIS/Casa Fácil;Goioerê; 9.023.378,19 ; 1.875.000,00 ; 1.875.000,00 ; 800.000,00 ; 800.000,00 ; 1.075.000,00 ;10/03/2025;28/07/2025;10/09/2026; 10,12 ; 10,12 ;755;Em execucão;7091/CONT/2024
Habitação;SECID;16;VIVER MAIS/Casa Fácil;Guaíra; 9.015.293,37 ; 1.525.000,00 ; 1.525.000,00 ; 472.390,62 ; 472.390,62 ; 1.052.609,38 ;10/03/2025;28/07/2025;10/09/2026; 6,51 ; 6,51 ;755;Em execução;7084/CONT/2024
Habitação;SECID;16;VIVER MAIS/Casa Fácil;Ivaiporã; 8.485.344,87 ; 2.583.000,00 ; 300.000,00 ; -   ; -   ; 300.000,00 ;;;; -   ; -   ;755;Em Projeto;7088/CONT/2024
Habitação;SECID;16;VIVER MAIS/Casa Fácil;Loanda; 8.999.380,89 ; 1.875.000,00 ; 1.875.000,00 ; 1.719.656,57 ; 1.719.656,57 ; 155.343,43 ;10/03/2025;28/07/2025;10/09/2026; 22,53 ; 22,53 ;755;Em execucão;7089/CONT/2024
Habitação;SECID;16;VIVER MAIS/Casa Fácil;Maringá; -   ; 300.000,00 ; -   ; -   ; -   ; -   ;;;; -   ; -   ;755;Em licitação;
Habitação;SECID;16;VIVER MAIS/Casa Fácil;Santo Antônio do Sudoeste; 10.915.570,52 ; 1.875.000,00 ; 1.875.000,00 ; 984.431,96 ; 975.326,99 ; 899.673,01 ;10/03/2025;28/07/2025;10/09/2026; 11,77 ; 11,77 ;755;Em execucão;7082/CONT/2024
Habitação;SECID;16;VIVER MAIS/Casa Fácil;São Miguel do Iguaçu; 9.106.516,38 ; 1.875.000,00 ; 1.874.998,09 ; 1.722.034,31 ; 1.722.034,31 ; 152.963,78 ;10/03/2025;28/07/2025;10/09/2026; 18,91 ; 18,91 ;755;Em execucão;7087/CONT/2024
Habitação;SECID;16;VIVER MAIS/Casa Fácil;Toledo; 7.785.535,83 ; 1.525.000,00 ; 1.525.000,00 ; 505.267,41 ; 505.267,41 ; 1.019.732,59 ;10/03/2025;28/07/2025;10/09/2026; 8,54 ; 8,54 ;755;Em execucão;7090/CONT/2024
Educação;SEED;12;Bairro Fraron — unidade nova;Pato Branco;18.618.000,00;11.000.000,00;11.500.000,00; -   ;0;18.618.000,00;;;;1,54;1,33;755;Em execução;5994/2024
Educação;SEED;12;Domingos FCO Zardo, C E-EF M — unidade nova;Palotina;27.477.000,00;26.977.000,00;27.477.000,00; -   ;0;27.477.000,00;;;;21,46;17,57;755;Em execução;3450/2024
Educação;SEED;12;Iolando Taques Fonseca, E E Prof-EF — unidade nova;Ponta Grossa;23.272.000,00;15.000.000,00;15.500.000,00; -   ;0;23.272.000,00;;;;1,73;1,47;755;Em execução;4237/2024
Educação;SEED;12;Mireille M F Z Machado, C E C-M PR-EF M — unidade nova;Mandirituba;11.097.021,02;10.568.504,00;10.517.481,87;2.949.820,14;6.729.072,28;4.367.948,74;;05/06/2025;;72,7;72,67;755;Indefinido;426/2024
Educação;SEED;12;"Moradias Monteiro Lobato C E-EF M — 08 salas de aula; 01 bloco de sanitários; 01 pátio coberto; 01 laboratório de informática; 01 refeitório; 01 sala multiuso; 01 casa do permissionário.";Curitiba;4.646.819,08;4.414.342,00;4.646.819,08;744.550,42;2.418.051,83;2.228.767,25;;17/07/2025;;63;62,13;755;Em execução;3961/2024
Educação;SEED;12;"Nirlei Medeiros C E-EF M PROFIS — 07 salas de aula; 01 laboratório de informática; 01 bloco de sanitários; 01 refeitório (ampliar existente); 01 sala multiuso; 01 depósito de merenda.";Curitiba;5.014.316,45;5.014.317,00;5.014.316,45; -   ;3.173.451,67;1.840.864,78;;11/06/2025;;77,59;77,5;755;Em execução;648/2024
Educação;SEED;12;Pinheiro do Paraná C E-EF M PROFIS — 04 salas de aula;Curitiba;3.031.292,89;2.799.009,00;3.031.292,89;1.428.330,08;2.415.980,97;615.311,92;;16/06/2025;;88,98;86,22;755;Em execução;4599/2024
Educação;SEED;12;Jardim Madrid — unidade nova;Curitiba;24.889.925,62;4.949.908,00;575.855,91; -   ;0;24.889.925,62;;;;0;0;755;Indefinido;3828/2025
